Tidsmerke,stopp,stopp nr,av,på,stående,sittende,fulle dobbeltseter,setebytter,passasjerer
15.09.2020 kl. 09.42.36,Bratsbergveien,14,5,2,6,,,,29
15.09.2020 kl. 09.44.08,Valøyvegen,15,1,5,8,,,,33
15.09.2020 kl. 09.44.52,Lerkendal,16,2,1,7,,,,32
15.09.2020 kl. 09.45.47,Hesthagen,17,4,4,,,,,32
15.09.2020 kl. 09.47.54,Samfundet,18,2,4,6,,,,34
15.09.2020 kl. 09.49.03,Nidarosdomen,19,6,1,5,,,,29
15.09.2020 kl. 09.51.44,Prinsens gate ,20,15,7,2,,,,21
15.09.2020 kl. 09.55.54,Olav Trygvasons gate,21,7,0,2,,,,14
15.09.2020 kl. 09.57.37,Trondheim S 13,22,4,3,0,,,,13
15.09.2020 kl. 09.59.09,Dyre Halses gate,23,0,2,0,,,,15
15.09.2020 kl. 10.01.41,Buran 3,24,1,2,0,,,,16
15.09.2020 kl. 10.03.01,Anders Buens gate ,25,1,0,,13,,,15
15.09.2020 kl. 10.03.51,Ladeveien,26,3,2,,,,,14
15.09.2020 kl. 10.04.57,Ingemann Torps veg,27,3,1,,,,,12
15.09.2020 kl. 10.06.02,Lade idrettsanlegg,28,4,3,,,,,11
15.09.2020 kl. 10.08.14,Haakon VIIs gate ,29,5,0,,5,,,6
15.09.2020 kl. 12.38.41,NY RUTE,,,,,,,,
15.09.2020 kl. 12.43.40,Heimdal stasjon,3,0,3,,4,,,4
15.09.2020 kl. 12.46.09,Lyngvegen,4,0,0,,,,,4
15.09.2020 kl. 12.46.47,Skyttervegen ,5,0,0,,,,,4
15.09.2020 kl. 12.49.13,Midteggen,6,0,0,,,,,4
15.09.2020 kl. 12.49.38,Casper Lundes veg,7,1,2,,,,,5
15.09.2020 kl. 12.51.11,Saupstadsenteret,8,3,2,,3,,,4
15.09.2020 kl. 12.52.07,Husebytunet ,9,0,1,,,,,5
15.09.2020 kl. 12.53.46,Bjørndalstoppen,10,0,1,,,,,6
15.09.2020 kl. 12.54.58,Bjørndalsbrua,11,0,0,,,,,6
15.09.2020 kl. 12.56.09,Tonstadkrysset,12,0,2,,,,,8
15.09.2020 kl. 13.00.43,Sluppen,13,1,0,,,,,7
15.09.2020 kl. 13.01.30,Bratsbergveien,14,0,4,,,,,11
15.09.2020 kl. 13.02.41,Valøyvegen,15,1,0,,,,,10
15.09.2020 kl. 13.03.36,Lerkendal,16,0,1,,8,,,11
15.09.2020 kl. 13.05.18,Hesthagen,17,0,4,,,,,15
15.09.2020 kl. 13.07.48,Samfundet,18,1,5,,,,,19
15.09.2020 kl. 13.08.54,Nidarosdomen,19,2,3,,,,,20
15.09.2020 kl. 13.11.22,Prinsens gate,20,6,10,,,,,24
15.09.2020 kl. 13.14.45,Olav Tryggvasons gate,21,2,2,,,,,24
15.09.2020 kl. 13.15.40,Trondheim S,22,1,1,,,,,24
15.09.2020 kl. 13.17.30,Dyre Halses gate,23,1,1,,,,,24
15.09.2020 kl. 13.19.23,Buran,24,1,3,,,,,26
15.09.2020 kl. 13.20.13,Anders Buens gate,25,4,1,,,,,23
15.09.2020 kl. 13.21.23,Ladeveien,26,3,1,,,,,21
15.09.2020 kl. 13.22.31,Ingemann Torps vei,27,3,1,,,,,19
15.09.2020 kl. 13.23.44,Lade idrettsanlegg,28,1,4,,,,,22
15.09.2020 kl. 13.25.35,Haakon VIIs gate,29,7,2,,,,,17
15.09.2020 kl. 13.54.10,NY RUTE,,,,,,,,
18.09.2020 kl. 06.28.32,Samfunnet,18,0,3,1,16?,,,14
18.09.2020 kl. 06.29.16,Nidarosdomen,19,1,0,0,14?,,,13
18.09.2020 kl. 06.30.49,Prinsens gate ,20,5,2,0,,,,10
18.09.2020 kl. 06.34.53,Olav Tryggvasons,21,1,0,0,14,,,9
18.09.2020 kl. 06.35.42,Trondheim S,22,2,2,0,14,,,9
18.09.2020 kl. 06.36.44,Dyre Halses gate,23,1,0,,,,,8
18.09.2020 kl. 06.39.45,Buran,24,2,7,2,12,,,14
18.09.2020 kl. 06.41.17,Anders Buens gate,25,0,0,,,,,14
18.09.2020 kl. 06.42.00,Ladeveien,26,8,2,0,,,,8
18.09.2020 kl. 06.43.23,Ingemann Torps veg,27,4,0,,,,,4
18.09.2020 kl. 07.25.08,NY RUTE,,,,,,,,
18.09.2020 kl. 07.36.39,Heimdal stasjon,3,2,11,11,22,,,33
18.09.2020 kl. 07.38.21,Lyngvegen,4,0,2,13,,,,35
18.09.2020 kl. 07.40.45,Skyttervegen,5,4,2,11,22,,,33
18.09.2020 kl. 07.41.19,Midteggen,6,0,4,15,,,,37
18.09.2020 kl. 07.43.26,Casper Lundes veg,7,0,12,15,,,,49
18.09.2020 kl. 07.45.40,Saupstadsenteret,8,26,8,6,24?,,,31
18.09.2020 kl. 07.46.57,Husebytunet,9,0,6,14?,24?,,1,37
18.09.2020 kl. 07.47.44,Bjørndalstoppen,10,1,7,,,,,43
18.09.2020 kl. 07.48.38,Bjørndalsbrua,11,0,1,,,,,44
18.09.2020 kl. 07.51.27,Tonstadkrysset,12,2,4,,,,,46
18.09.2020 kl. 07.55.55,Sluppen,13,1,0,,,,,45
18.09.2020 kl. 07.56.59,Bratsbergveien,14,4,1,12,,,,42
18.09.2020 kl. 07.57.58,Valøyvegen,15,1,3,,,,,44
18.09.2020 kl. 07.58.57,Lerkendal,16,2,0,,,,,42
18.09.2020 kl. 08.00.24,Hesthagen,17,8,0,3,,,,34
18.09.2020 kl. 08.02.44,Samfundet,18,7,2,2,,,,29
18.09.2020 kl. 08.04.02,Nidarosdomen,19,10,1,1,,,,20
18.09.2020 kl. 08.07.44,Prinsens gate,20,7,3,0,16,,,16
18.09.2020 kl. 08.09.16,Olav Tryggvasons,21,1,0,0,,,,15
18.09.2020 kl. 08.11.08,Trondheim S,22,4,0,,10?,,,11
18.09.2020 kl. 08.12.48,Dyre Halses gate,23,2,0,,,,,9
18.09.2020 kl. 08.15.26,Buran,24,0,0,,9,,,9
18.09.2020 kl. 08.16.03,Anders Buens gate,25,2,1,,,,,8
18.09.2020 kl. 08.17.22,Ladeveien,26,2,0,,,,,6
18.09.2020 kl. 08.18.35,Ingemann Torps veg,27,3,1,,,,,4
18.09.2020 kl. 08.19.55,Lade idrettsanlegg,28,4,0,,,,,0
18.09.2020 kl. 09.06.20,NY RUTE,,,,,,,,
18.09.2020 kl. 09.14.00,Heimdal stasjon,3,0,2,,6,,,6
18.09.2020 kl. 09.16.37,Lyngvegen,4,0,0,,,,,6
18.09.2020 kl. 09.17.21,Skyttervegen,5,0,2,,,,,8
18.09.2020 kl. 09.18.49,Midteggen,6,0,1,,,,,9
18.09.2020 kl. 09.20.30,Casper Lundes veg,7,1,3,,,,,11
18.09.2020 kl. 09.21.46,Saupstadsenteret,8,3,4,,,,,12
18.09.2020 kl. 09.22.55,Husebytunet,9,0,1,,,,,13
18.09.2020 kl. 09.24.25,Bjørndalstoppen,10,1,7,,,,,19
18.09.2020 kl. 09.25.50,Bjørndalsbrua,11,0,0,,,,,19
18.09.2020 kl. 09.26.30,Tonstadkrysset,12,1,3,,,,,21
18.09.2020 kl. 09.30.52,Sluppen,13,0,0,,,,,21
18.09.2020 kl. 09.31.11,Bratsbergveien,14,2,0,,,,,19
18.09.2020 kl. 09.32.54,Valøyvegen,15,1,3,,,,,21
18.09.2020 kl. 09.34.24,Lerkendal,16,1,4,,,,,24
18.09.2020 kl. 09.35.52,Hesthagen,17,0,3,2,,,,27
18.09.2020 kl. 09.38.59,Samfundet,18,4,2,1,29,,,25
